gene1,gene2
STIM1,TRPC1
STIM1,ATP2B4
STIM1,HEXB
STIM1,SEC22B
STIM1,CAV1
STIM1,CDH1
STIM1,IFNGR1
STIM1,RNF4
STIM1,SF1
STIM1,HAUS1
STIM1,EFTUD2
STIM1,CAT
STIM1,RSL1D1
STIM1,PDIA3
STIM1,IL17RB
STIM1,ATP2C1
STIM1,PRKAA2
STIM1,KRIT1
STIM1,SLC39A9
STIM1,MAPRE1
STIM1,TMEM17
STIM1,ORAI1
STIM1,SLC7A1
STIM1,SEPT11
STIM1,TCTN2
STIM1,CRACR2A
STIM1,HLA-DRA
STIM1,SARAF
STIM1,ORAI3
STIM1,STIM2
STIM1,TCTN3
STIM1,EVC2
STIM1,S100A16
STIM1,PTPRN2
STIM1,ORAI2
STIM1,TRPV4
STIM1,CD1E
STIM1,GABRE
STIM1,TMEM216
STIM1,LRRTM1
TRPC1,STIM1
TRPC1,TNFRSF1A
TRPC1,GRIA1
TRPC1,ITPR1
TRPC1,CAV1
TRPC1,BMPR2
TRPC1,RHOA
TRPC1,ITPR3
TRPC1,PKD2
TRPC1,TRPC3
TRPC1,ORAI1
TRPC1,GRM1
TRPC1,ITPR2
TRPC1,TRPC4
TRPC1,HOMER1
TRPC1,TRPC6
TRPC1,TRPC5
NOS1,ATP2B4
NOS1,PPP3R1
NOS1,PTPN6
NOS1,STUB1
NOS1,EGR1
NOS1,PRKCA
NOS1,PFKM
NOS1,HSP90AA1
NOS1,DLG4
NOS1,SNTA1
NOS1,CALM3
NOS1,BDKRB2
NOS1,CTBP1
NOS1,PRKD1
NOS1,HSPA4
NOS1,ADRB2
NOS1,PRKACA
NOS1,ADRB1
NOS1,UBC
NOS1,DYNLL1
NOS1,ADRA1D
NOS1,CAMK2A
NOS1,VAC14
NOS1,HMOX1
NOS1,ADRA1B
NOS1,DLGAP2
NOS1,CKAP4
NOS1,SYN1
NOS1,RASD1
NOS1,NOSIP
NOS1,DLG2
NOS1,ADRA1A
NOS1,PRKG2
NOS1,DMD
NOS1,CAMK1
NOS1,GRIN2A
NOS1,CAV3
NOS1,CAMK4
NOS1,ARG1
ATP2B4,STIM1
ATP2B4,NOS1
ATP2B4,EGFR
ATP2B4,SRC
ATP2B4,CANX
ATP2B4,EDA2R
ATP2B4,BSG
ATP2B4,HTR3A
ATP2B4,CDH1
ATP2B4,CFTR
ATP2B4,NOS3
ATP2B4,GPC1
ATP2B4,CALM3
ATP2B4,DLG1
ATP2B4,AGTR1
ATP2B4,ERBIN
ATP2B4,CD22
ATP2B4,ATP1A1
ATP2B4,ADRB2
ATP2B4,LILRB4
